,date,user,tweet,mentioned
38967,2009-06-11 17:57:37,lakers_news,BlueAndGold- #Lakers Lakers/Magic Game 4 Preview: While I still have an almost unshakable c.. ,[]
56438,2009-06-11 18:21:29,thelakersnation,#lakers Hollinger’s Grteatest Franchise Rankings: Lakers #1: ESPN ranks Lakers as greatest franchise. ,[]
66105,2009-06-11 18:40:08,ocregsports,"#Lakers What did the Lakers do with their day off? Go to the movies, of course ",[]
103531,2009-06-11 19:42:01,matthewgc,"Can't wait for the game tonight, Go #Lakers GO!! #nba",[]
104803,2009-06-11 19:43:24,lamase, Kareem says Dwight Howard of #Magic is predictable against the #Lakers. #NBA,[]
129815,2009-06-11 20:26:51,talkhousemag,market your small business while watching the #lakers ,[]
131176,2009-06-11 20:29:16,wonderhowto,love our #lakers watch how #kobe does #howto right ,[]
134715,2009-06-11 20:36:43,trendingnow, Lakers vs. Magic Game 4 (#Lakers #Magic #NBA #Kobe #Howard #TrendingNow),[]
137552,2009-06-11 20:41:38,lakeshowonline,#lakers Contract talk follows Lewis all the way to finals (AP): Rashard Lewis is an All-Star and his team.. ,[]
138416,2009-06-11 20:42:44,breedon, Warwick Records (Breedon -n- J.Dot) - Show Stoppaz @Breedon #Chastity Bono #Swine Flu #iPhone #Lakers #Kobe #H1N1,['breedon']
139967,2009-06-11 20:44:55,triplewicky,@WarrenPearce would #chastitybono drink #pinkgin to ward off #swineflu whilst talking about the #lakers on her #iphone? #krodmandoon,['warrenpearce']
153950,2009-06-11 21:07:36,jspikething,Gay guy watches NBA Finals-  #kobe #lakers #magic,[]
155183,2009-06-11 21:09:32,blazingorchidlv,Just added myself to the  twitter directory under: #sports #lakers #lasvegas,[]
157320,2009-06-11 21:14:27,cpudan,Twitter is a slam dunk with the NBA -  #nba #lakers,[]
171812,2009-06-11 21:41:34,sarah_elizbeth,I really want more followers!! Will this work? #swine flu #MP2 #iPhone #Lakers #Krod Mandoon #H1N1 #Kobe #Final Destination,[]
180672,2009-06-11 21:53:17,lakersoffire,We're counting down to Game 4 as the #Lakers try and get those nasty memories of Game 3 out of their system. ,[]
192310,2009-06-11 22:05:19,realzachschau,"Shaven. The works! Wild place, Floyds...at Delco now, then home for a jog then my #lakers",[]
194112,2009-06-11 22:07:19,mrthinkblue,RT @lakerfan4lyfe: #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #GoLakers #Lakers,['lakerfan4lyfe']
